"Uelzen;""2.580"";""1.860"";""720"";""28"""
"Ulm, Universitätsstadt;""2.800"";""2.280"";""530"";""19"""
"Unna;""15.410"";""9.320"";""6.090"";""40"""
"Unstrut-Hainich-Kreis;""3.870"";""2.630"";""1.250"";""32"""
"Unterallgäu;""1.930"";""1.520"";""410"";""21"""
"Vechta;""3.340"";""2.570"";""770"";""23"""
"Verden;""3.020"";""2.320"";""700"";""23"""
"Viersen;""9.430"";""5.820"";""3.620"";""38"""
"Vogelsbergkreis;""2.520"";""1.890"";""640"";""25"""
"Vogtlandkreis;""6.650"";""4.920"";""1.730"";""26"""
"Vorpommern-Greifswald;""10.780"";""7.110"";""3.670"";""34"""
"Vorpommern-Rügen;""12.030"";""8.460"";""3.570"";""30"""
"Vulkaneifel;""1.370"";""1.040"";""330"";""24"""
"Waldeck-Frankenberg;""3.680"";""2.880"";""800"";""22"""
"Waldshut;""3.860"";""2.820"";""1.040"";""27"""
"Warendorf;""8.390"";""5.210"";""3.180"";""38"""
"Wartburgkreis;""4.580"";""3.080"";""1.510"";""33"""
"Weiden i.d.OPf., Stadt;""1.320"";""1.010"";""310"";""23"""
"Weilheim-Schongau;""2.240"";""1.720"";""520"";""23"""
"Weimar, Stadt;""1.970"";""1.370"";""600"";""30"""
"Weimarer Land;""2.120"";""1.560"";""560"";""27"""
"Weißenburg-Gunzenhausen;""2.140"";""1.680"";""460"";""22"""
"Werra-Meißner-Kreis;""2.710"";""1.920"";""790"";""29"""
"Wesel;""16.320"";""10.020"";""6.300"";""39"""
"Wesermarsch;""3.370"";""2.170"";""1.200"";""36"""
"Westerwaldkreis;""3.710"";""2.830"";""880"";""24"""
"Wetteraukreis;""7.210"";""5.390"";""1.820"";""25"""
"Wiesbaden, Landeshauptstadt;""12.070"";""6.630"";""5.440"";""45"""
"Wilhelmshaven, Stadt;""4.270"";""2.530"";""1.740"";""41"""
"Wittenberg;""4.530"";""2.930"";""1.600"";""35"""
"Wittmund;""2.300"";""1.820"";""480"";""21"""
"Wolfenbüttel;""3.580"";""2.370"";""1.210"";""34"""
"Wolfsburg, Stadt;""4.010"";""2.660"";""1.350"";""34"""
"Worms, kreisfreie Stadt;""3.770"";""2.400"";""1.370"";""36"""
"Wunsiedel i.Fichtelgebirge;""1.910"";""1.420"";""480"";""25"""
"Wuppertal, Stadt;""17.490"";""10.390"";""7.100"";""41"""
"Würzburg;""2.310"";""1.820"";""490"";""21"""
"Würzburg, Stadt;""2.800"";""2.170"";""640"";""23"""
"Zollernalbkreis;""4.680"";""3.450"";""1.240"";""26"""
"Zweibrücken, kreisfreie Stadt;""1.200"";""810"";""390"";""33"""
"Zwickau;""8.720"";""5.800"";""2.920"";""33"""
